VIN,Time of Refueling (Start Time),Refueling Location,Refueling Amount (gal),Refueling Cost ($)
1FTYR3XM6FKB18960,2024-11-13 01:12:47,"QuikTrip, Eldorado Parkway, Frisco, Collin County, Texas, 75033, United States",21.94,68.00
1FTYR3XM6FKB18960,2024-11-08 23:08:37,"2717, Cross Timbers Road, Flower Mound, Denton County, Texas, 75028, United States",21.98,68.13
1FTYR3XM6FKB18960,2024-10-26 18:07:09,"Long Prairie Road, Flower Mound, Denton County, Texas, 75028, United States",27.13,84.10
1FTYR3XM6FKB18960,2024-10-03 22:59:26,"2717, Cross Timbers Road, Flower Mound, Denton County, Texas, 75028, United States",7.52,23.32
1FTYR3XM6FKB18960,2024-09-09 15:03:39,"2717, Cross Timbers Road, Flower Mound, Denton County, Texas, 75028, United States",22.55,62.13
1FTYR3XM6FKB18960,2024-09-01 17:18:30,"Throckmorton County, Texas, United States",2.46,6.78
1FTYR3XM6FKB18960,2024-09-01 00:17:17,"Best Western Plus Graham Inn, 1707, State Highway 16 South, Graham, Young County, Texas, 76450, United States",3.03,8.36
1FTYR3XM6FKB18960,2024-08-31 02:17:33,"RaceTrac Gas Station, Grapevine Mills Parkway, Grapevine, Tarrant County, Texas, 75067, United States",27.11,74.67
1FTYR3XM6FKB18960,2024-08-26 23:09:26,"Pearl Lane, Flower Mound, Denton County, Texas, 75022, United States",1.29,3.55
1FTYR3XM6FKB18960,2024-08-26 22:41:33,"Santa Monica Street, Flower Mound, Denton County, Texas, 75022, United States",1.33,3.68
1FTYR3XM6FKB18960,2024-08-24 18:53:04,"2051, Long Prairie Road, Flower Mound, Denton County, Texas, 75028, United States",1.82,5.03
1FTYR3XM6FKB18960,2024-08-23 21:12:17,"Long Prairie Road, Flower Mound, Denton County, Texas, 75028, United States",2.04,5.62
1FTYR3XM6FKB18960,2024-08-23 00:21:40,"Avenue of Champions, Dallas Cowboys & Frisco Multi Event Center, Frisco, Collin County, Texas, 75034, United States",2.49,6.85
1FTYR3XM6FKB18960,2024-08-22 20:36:21,"Marcus High School, 5707, Morriss Road, Flower Mound, Denton County, Texas, 75028, United States",2.80,7.70
1FTYR3XM6FKB18960,2024-08-20 21:36:04,"Starbucks, Long Prairie Road, Flower Mound, Denton County, Texas, 75028, United States",3.85,10.60
1FTYR3XM6FKB18960,2024-08-19 15:48:13,"RaceTrac Gas Station, Grapevine Mills Parkway, Grapevine, Tarrant County, Texas, 75067, United States",26.08,71.83
1FTYR3XM6FKB18960,2024-08-16 23:29:34,"Joe's Crab Shack Parking, Nolan Ryan Expressway, Arlington, Tarrant County, Texas, 76011, United States",1.32,3.64
1FTYR3XM6FKB18960,2024-08-15 21:14:11,"Starbucks, Long Prairie Road, Flower Mound, Denton County, Texas, 75028, United States",1.78,4.89
1FTYR3XM6FKB18960,2024-08-15 20:09:34,"Hilltop Road, Denton, Denton County, Texas, 76226, United States",1.93,5.33
1FTYR3XM6FKB18960,2024-08-13 18:02:43,"Santa Monica Street, Flower Mound, Denton County, Texas, 75022, United States",2.34,6.44
1FTYR3XM6FKB18960,2024-08-13 13:38:36,"Santa Monica Street, Flower Mound, Denton County, Texas, 75022, United States",2.39,6.58
1FTYR3XM6FKB18960,2024-08-11 17:35:39,"Santa Monica Street, Flower Mound, Denton County, Texas, 75022, United States",2.80,7.70
1FTYR3XM6FKB18960,2024-08-11 14:41:04,"Santa Monica Street, Flower Mound, Denton County, Texas, 75022, United States",2.95,8.13
1FTYR3XM6FKB18960,2024-07-31 16:25:36,"Murphy USA, Marketplace Lane, Marketplace at Highland Village, Highland Village, Denton County, Texas, 75077, United States",26.65,87.81
1FTYR3XM6FKB18960,2024-07-14 01:28:18,"2717, Cross Timbers Road, Flower Mound, Denton County, Texas, 75028, United States",16.36,53.89
1FTYR3XM6FKB18960,2024-07-01 18:42:29,"7-Eleven, Flower Mound Road, Flower Mound, Denton County, Texas, 75022, United States",11.13,36.67
